School,Player_Type,Position_Type,Position,Drafted,Team
Montana St.,offense,backs_receivers,TE,Yes,Carolina Panthers
Oklahoma,defense,defensive_back,CB,Yes,Carolina Panthers
West Virginia,defense,defensive_back,CB,Yes,Carolina Panthers
Samford,defense,defensive_back,CB,Yes,Carolina Panthers
Kansas St.,offense,offensive_lineman,OT,Yes,Chicago Bears
West Virginia,defense,line_backer,ILB,Yes,Chicago Bears
Indiana,offense,backs_receivers,RB,Yes,Chicago Bears
William & Mary,defense,defensive_back,FS,Yes,Chicago Bears
Georgia,defense,line_backer,OLB,Yes,Chicago Bears
Miami (FL),defense,defensive_back,FS,Yes,Chicago Bears
Florida,defense,defensive_lineman,DE,Yes,Chicago Bears
Houston,defense,defensive_back,CB,Yes,Cincinnati Bengals
Arizona St.,offense,offensive_lineman,OG,Yes,Cincinnati Bengals
Baylor,defense,defensive_lineman,DT,Yes,Cincinnati Bengals
Utah St.,defense,line_backer,ILB,Yes,Cincinnati Bengals
Pittsburgh,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Mississippi,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Oklahoma St.,defense,defensive_lineman,DE,Yes,Cleveland Browns
Wisconsin,defense,line_backer,OLB,Yes,Cleveland Browns
Baylor,offense,offensive_lineman,OT,Yes,Cleveland Browns
Baylor,offense,backs_receivers,WR,Yes,Cleveland Browns
USC,offense,backs_receivers,QB,Yes,Cleveland Browns
UCLA,offense,backs_receivers,WR,Yes,Cleveland Browns
Auburn,offense,offensive_lineman,OT,Yes,Cleveland Browns
TCU,defense,defensive_back,FS,Yes,Cleveland Browns
Arizona,defense,line_backer,ILB,Yes,Cleveland Browns
Penn St.,defense,defensive_lineman,DE,Yes,Cleveland Browns
Auburn,offense,backs_receivers,WR,Yes,Cleveland Browns
Colorado St.,offense,backs_receivers,WR,Yes,Cleveland Browns
Notre Dame,defense,line_backer,OLB,Yes,Dallas Cowboys
Purdue,defense,defensive_back,CB,Yes,Dallas Cowboys
Ohio St.,offense,backs_receivers,RB,Yes,Dallas Cowboys
Mississippi St.,offense,backs_receivers,QB,Yes,Dallas Cowboys
Oklahoma,defense,defensive_lineman,DE,Yes,Dallas Cowboys
Nebraska,defense,defensive_lineman,DT,Yes,Dallas Cowboys
Central Michigan,defense,defensive_back,FS,Yes,Dallas Cowboys
Utah,offense,backs_receivers,RB,Yes,Denver Broncos
Boston Col.,defense,defensive_back,FS,Yes,Denver Broncos
Syracuse,special_teams,kicking_specialist,P,Yes,Denver Broncos
Georgia Tech,defense,defensive_lineman,DT,Yes,Denver Broncos
Nebraska,offense,backs_receivers,FB,Yes,Denver Broncos
Memphis,offense,backs_receivers,QB,Yes,Denver Broncos
Missouri,offense,offensive_lineman,OG,Yes,Denver Broncos
Penn St.,defense,defensive_lineman,DT,Yes,Detroit Lions
Alabama,defense,defensive_lineman,DT,Yes,Detroit Lions
Baylor,special_teams,other_special,LS,Yes,Detroit Lions
Southern Utah,defense,defensive_back,SS,Yes,Detroit Lions
Michigan,offense,offensive_lineman,C,Yes,Detroit Lions
Ohio St.,offense,offensive_lineman,OT,Yes,Detroit Lions
Washington St.,offense,offensive_lineman,OT,Yes,Detroit Lions
Indiana,offense,offensive_lineman,OT,Yes,Green Bay Packers
Stanford,offense,offensive_lineman,OT,Yes,Green Bay Packers
Stanford,defense,line_backer,ILB,Yes,Green Bay Packers
Northwestern,defense,defensive_lineman,DE,Yes,Green Bay Packers
Utah St.,defense,line_backer,OLB,Yes,Green Bay Packers
California,offense,backs_receivers,WR,Yes,Green Bay Packers
UCLA,defense,defensive_lineman,DT,Yes,Green Bay Packers
Ohio St.,offense,backs_receivers,WR,Yes,Houston Texans
Notre Dame,offense,offensive_lineman,C,Yes,Houston Texans
Clemson,defense,defensive_lineman,DT,Yes,Houston Texans
Notre Dame,offense,backs_receivers,WR,Yes,Houston Texans
West Virginia,defense,defensive_back,SS,Yes,Houston Texans
San Jose St.,offense,backs_receivers,RB,Yes,Houston Texans
Clemson,defense,defensive_back,FS,Yes,Indianapolis Colts
North Dakota St.,offense,offensive_lineman,OT,Yes,Indianapolis Colts
Alabama,offense,offensive_lineman,C,Yes,Indianapolis Colts
Florida,defense,line_backer,ILB,Yes,Indianapolis Colts
Texas,defense,defensive_lineman,DT,Yes,Indianapolis Colts
Texas Tech,offense,offensive_lineman,OT,Yes,Indianapolis Colts
Iowa,offense,offensive_lineman,C,Yes,Indianapolis Colts
Maryland,defense,defensive_lineman,DE,Yes,Jacksonville Jaguars
UCLA,defense,line_backer,OLB,Yes,Jacksonville Jaguars
Florida St.,defense,defensive_back,CB,Yes,Jacksonville Jaguars
Arkansas,offense,backs_receivers,QB,Yes,Jacksonville Jaguars
Notre Dame,defense,defensive_lineman,DT,Yes,Jacksonville Jaguars
Notre Dame,defense,defensive_back,CB,Yes,Kansas City Chiefs
